age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
30,technician,married,tertiary,no,-340,yes,yes,telephone,30,156,8,-1,0,unknown,no
34,management,married,tertiary,no,73,no,no,cellular,4,426,2,-1,0,unknown,yes
44,management,married,tertiary,no,1451,yes,no,cellular,17,157,3,150,12,failure,no
27,admin.,single,tertiary,no,4991,yes,no,cellular,13,123,1,-1,0,unknown,no
43,technician,divorced,secondary,no,-278,no,no,cellular,28,103,8,-1,0,unknown,no
48,blue-collar,married,primary,no,490,yes,no,unknown,19,622,2,-1,0,unknown,no
38,management,married,unknown,no,1759,yes,no,unknown,6,440,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,43,no,no,unknown,19,190,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,-257,yes,no,cellular,15,160,1,368,4,failure,no
32,services,married,secondary,no,983,yes,no,cellular,20,500,2,133,1,failure,yes
45,management,married,tertiary,no,1063,yes,no,cellular,16,41,4,-1,0,unknown,no
48,admin.,married,secondary,no,-509,no,yes,cellular,8,302,3,-1,0,unknown,no
38,admin.,married,secondary,no,47,yes,no,cellular,4,288,5,-1,0,unknown,yes
38,admin.,married,secondary,no,-295,no,no,cellular,14,356,3,-1,0,unknown,no
35,management,married,tertiary,no,5367,no,no,cellular,2,69,1,-1,0,unknown,no
43,management,married,tertiary,no,254,yes,yes,cellular,15,104,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,320,yes,yes,cellular,3,22,4,-1,0,unknown,no
39,technician,married,secondary,no,447,no,no,cellular,19,968,1,-1,0,unknown,no
29,management,divorced,tertiary,no,559,yes,no,cellular,18,6,4,-1,0,unknown,no
54,retired,married,secondary,no,1851,no,no,unknown,11,296,3,-1,0,unknown,no
37,unemployed,single,primary,no,3777,no,no,cellular,5,206,3,-1,0,unknown,no
50,management,divorced,tertiary,no,151,no,no,cellular,9,103,4,-1,0,unknown,no
40,blue-collar,married,primary,no,-740,yes,no,unknown,20,126,3,-1,0,unknown,no
51,retired,married,primary,no,670,yes,no,cellular,7,391,1,-1,0,unknown,no
40,management,married,tertiary,no,3352,yes,no,telephone,23,138,1,-1,0,unknown,yes
28,admin.,single,secondary,no,697,yes,no,cellular,7,404,2,-1,0,unknown,no
41,unemployed,divorced,secondary,no,142,yes,no,cellular,17,353,3,-1,0,unknown,no
29,technician,married,tertiary,no,1413,yes,no,cellular,17,170,4,-1,0,unknown,no
55,technician,single,secondary,no,149,yes,no,cellular,11,103,15,-1,0,unknown,no
39,technician,married,tertiary,no,209,no,no,unknown,23,36,2,-1,0,unknown,no
33,admin.,single,secondary,no,16,yes,yes,cellular,3,102,1,-1,0,unknown,no
57,technician,married,secondary,no,7766,yes,no,cellular,21,220,1,-1,0,unknown,no
38,technician,married,unknown,no,90,yes,yes,unknown,8,20,2,-1,0,unknown,no
24,management,single,tertiary,no,736,yes,no,cellular,15,442,2,246,2,other,yes
29,management,single,tertiary,no,368,yes,no,unknown,23,160,1,-1,0,unknown,no
32,blue-collar,married,primary,no,244,yes,no,unknown,16,128,2,-1,0,unknown,no
30,management,single,tertiary,no,398,no,no,cellular,27,102,1,180,3,success,yes
33,management,married,tertiary,no,483,yes,no,unknown,14,738,2,-1,0,unknown,no
30,admin.,divorced,secondary,no,891,no,no,cellular,15,340,2,368,1,failure,no
42,admin.,married,secondary,no,0,yes,no,cellular,8,1011,1,-1,0,unknown,no
50,services,married,secondary,no,3169,no,no,cellular,13,399,1,430,1,failure,yes
37,admin.,single,secondary,no,0,yes,yes,cellular,3,144,2,463,6,failure,no
55,self-employed,married,primary,no,468,yes,no,cellular,11,214,2,-1,0,unknown,no
30,admin.,married,primary,no,624,yes,no,cellular,15,212,2,368,1,failure,no
48,technician,married,tertiary,no,443,yes,no,cellular,8,235,2,-1,0,unknown,no
44,management,married,tertiary,no,0,no,no,cellular,28,43,1,-1,0,unknown,no
48,blue-collar,married,primary,no,-298,yes,no,cellular,18,77,1,-1,0,unknown,no
42,technician,single,tertiary,no,24,no,no,cellular,8,262,1,-1,0,unknown,no
35,technician,married,secondary,no,319,yes,no,unknown,8,74,1,-1,0,unknown,no
28,blue-collar,single,primary,no,150,no,yes,cellular,9,112,2,-1,0,unknown,no
33,blue-collar,single,secondary,no,5137,yes,no,cellular,6,123,1,-1,0,unknown,no
31,management,married,tertiary,no,1812,no,no,cellular,4,138,1,84,2,failure,no
42,technician,married,tertiary,no,1079,no,no,cellular,31,61,2,-1,0,unknown,no
44,technician,married,secondary,no,331,yes,no,cellular,20,256,4,-1,0,unknown,no
32,admin.,single,secondary,no,471,no,yes,cellular,2,243,3,-1,0,unknown,yes
49,management,married,tertiary,no,5887,no,no,cellular,2,181,3,293,2,failure,yes
57,retired,married,secondary,no,1044,no,no,telephone,12,567,1,182,3,success,yes
37,blue-collar,married,secondary,no,190,yes,no,unknown,9,83,2,-1,0,unknown,no
42,blue-collar,married,primary,no,170,yes,no,unknown,19,51,41,-1,0,unknown,no
42,housemaid,single,primary,no,206,no,yes,cellular,24,148,1,-1,0,unknown,no
36,admin.,single,tertiary,no,364,no,yes,cellular,31,185,1,123,1,failure,yes
34,technician,single,secondary,no,302,yes,no,unknown,14,282,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,77,yes,no,unknown,15,381,7,-1,0,unknown,no
28,services,single,secondary,no,0,no,no,cellular,4,428,1,-1,0,unknown,no
35,admin.,divorced,secondary,no,1085,no,no,cellular,4,195,6,97,12,other,yes
20,student,single,secondary,no,215,no,no,cellular,24,325,1,95,5,success,yes
